RMS V	RMS I	PF	Active power	Reactive power	Apparent power	TV	Microwave	Fan
235.6	0.33	0.63	3.02	3.71	4.78	1	0	0
235.35	0.33	0.63	4.83	5.96	7.67	1	0	0
235.32	0.33	0.63	4.95	6.08	7.84	1	0	0
235.31	0.33	0.63	6.13	7.59	9.76	1	0	0
235.3	0.33	0.63	5.46	6.69	8.64	1	0	0
235.31	0.33	0.63	6.55	8.08	10.4	1	0	0
235.17	0.33	0.63	17.7	21.78	28.07	1	0	0
235.18	0.33	0.63	55.37	67.89	87.6	1	0	0
235.21	0.33	0.63	8.53	10.49	13.52	1	0	0
235.16	0.33	0.63	38.15	47.04	60.57	1	0	0
235.93	0.32	0.63	13.21	16.33	21	1	0	0
235.94	0.33	0.63	78.04	96.27	123.93	1	0	0
235.64	0.33	0.63	1.81	2.21	2.86	1	0	0
235.38	0.33	0.63	0.79	0.97	1.25	1	0	0
235.4	0.33	0.63	1.09	1.35	1.73	1	0	0
235.38	0.33	0.63	2.83	3.45	4.46	1	0	0
235.36	0.33	0.63	3.42	4.22	5.43	1	0	0
235.34	0.33	0.63	3.31	4.09	5.27	1	0	0
235.35	0.33	0.63	4.23	5.21	6.71	1	0	0
235.34	0.32	0.63	4.64	5.7	7.35	1	0	0
235.33	0.33	0.63	5.06	6.19	8	1	0	0
235.32	0.33	0.63	6.35	7.83	10.08	1	0	0
235.15	0.33	0.63	18.16	22.24	28.71	1	0	0
235.4	0.33	0.63	55.53	68.23	87.97	1	0	0
235.22	0.33	0.63	8.65	10.6	13.68	1	0	0
235.13	0.33	0.63	42.19	52.04	66.99	1	0	0
235.72	0.33	0.63	13.28	16.27	21	1	0	0
235.93	0.33	0.63	78.06	96.26	123.93	1	0	0
235.56	0.33	0.63	5.45	6.7	8.64	1	0	0
235.32	0.33	0.63	5.85	7.2	9.28	1	0	0
235.3	0.33	0.63	7.79	9.56	12.33	1	0	0
235.14	0.33	0.63	18.81	23.16	29.83	1	0	0
235.21	0.33	0.63	55.6	68.16	87.97	1	0	0
235.23	0.33	0.63	10.43	12.87	16.57	1	0	0
235.25	0.33	0.63	13.31	16.25	21	1	0	0
235.98	0.32	0.63	78.04	96.27	123.93	1	0	0
235.96	0.33	0.63	7	8.59	11.08	1	0	0
235.61	0.33	0.63	3.02	3.71	4.78	1	0	0
235.56	0.33	0.63	3.67	4.51	5.81	1	0	0
235.57	0.33	0.63	3.56	4.38	5.65	1	0	0
235.55	0.33	0.63	3.4	4.2	5.4	1	0	0
235.55	0.33	0.63	3.6	4.41	5.69	1	0	0
235.57	0.33	0.63	2.71	3.33	4.29	1	0	0
235.54	0.33	0.63	2.51	3.07	3.96	1	0	0
235.53	0.33	0.63	1.8	2.21	2.85	1	0	0
235.77	0.33	0.63	1.26	1.54	1.98	1	0	0
235.53	0.33	0.63	1.1	1.35	1.74	1	0	0
235.75	0.33	0.63	0.5	0.61	0.79	1	0	0
235.48	0.32	0.63	0.55	0.68	0.87	1	0	0
235.72	0.33	0.63	0.47	0.58	0.75	1	0	0
235.49	0.32	0.63	0.66	0.8	1.04	1	0	0
235.49	0.33	0.63	0.63	0.77	1	1	0	0
235.45	0.32	0.63	0.73	0.9	1.16	1	0	0
235.47	0.32	0.63	1.35	1.64	2.12	1	0	0
235.46	0.33	0.63	1.64	2.02	2.6	1	0	0
235.45	0.32	0.63	0.43	0.52	0.68	1	0	0
235.43	0.33	0.63	1.3	1.59	2.05	1	0	0
235.38	0.33	0.63	3.64	4.45	5.75	1	0	0
235.61	0.33	0.63	3.03	3.71	4.78	1	0	0
235.39	0.33	0.63	1.5	1.84	2.38	1	0	0
235.36	0.33	0.63	3.02	3.71	4.78	1	0	0
235.34	0.33	0.63	3.31	4.09	5.27	1	0	0
235.38	0.33	0.63	1.5	1.84	2.38	1	0	0
235.39	0.33	0.63	0.99	1.22	1.57	1	0	0
235.4	0.33	0.63	0.59	0.72	0.93	1	0	0
235.41	0.32	0.63	0.22	0.27	0.35	1	0	0
235.42	0.33	0.63	0.48	0.6	0.77	1	0	0
235.42	0.33	0.63	0.79	0.97	1.25	1	0	0
235.59	0.33	0.63	1.7	2.09	2.7	1	0	0
235.37	0.33	0.63	3.02	3.71	4.78	1	0	0
235.34	0.33	0.63	2.81	3.47	4.46	1	0	0
235.35	0.33	0.63	2.51	3.09	3.98	1	0	0
235.35	0.33	0.63	4.55	5.57	7.19	1	0	0
235.31	0.33	0.63	7.47	9.2	11.85	1	0	0
235.4	0.33	0.63	17.82	21.89	28.23	1	0	0
235.21	0.33	0.63	56.72	69.59	89.78	1	0	0
235.34	0.33	0.63	8.71	10.76	13.84	1	0	0
235.14	0.33	0.63	42.25	51.98	66.99	1	0	0
235.72	0.33	0.63	13.27	16.28	21	1	0	0
230.1	4.93	0.76	173.96	147.05	227.79	0	1	1
230.14	4.92	0.77	1785.28	1497.4	2330.12	0	1	1
230.22	4.88	0.77	480.86	401.22	626.26	0	1	1
230.3	4.86	0.77	163.01	135.93	212.25	0	1	1
230.15	4.85	0.77	1795.3	1485.37	2330.12	0	1	1
230.2	4.82	0.77	550.45	454.28	713.7	0	1	1
230.31	4.79	0.77	189.8	156.05	245.71	0	1	1
230.17	4.78	0.78	1731.57	1411.29	2233.85	0	1	1
230.23	4.74	0.78	560.34	454.61	721.56	0	1	1
230.3	4.72	0.78	83.7	67.75	107.69	0	1	1
229.92	4.71	0.78	1802.04	1456.55	2317.09	0	1	1
230.03	4.68	0.78	426.5	341.18	546.17	0	1	1
230.36	4.66	0.78	384.84	307.93	492.87	0	1	1
230.02	4.65	0.78	1847.15	1470.48	2360.99	0	1	1
230.05	4.62	0.78	440.82	348.83	562.14	0	1	1
230.36	4.61	0.78	381.52	301.47	486.25	0	1	1
230.06	4.59	0.79	1747.26	1363.07	2216.05	0	1	1
230.05	4.56	0.79	409.01	317.5	517.78	0	1	1
230.39	4.54	0.79	318.3	246.78	402.76	0	1	1
230.03	4.54	0.79	1641.51	1266.54	2073.32	0	1	1
230.05	4.52	0.79	351.69	269.79	443.25	0	1	1
230.34	4.49	0.79	133.35	102.16	167.98	0	1	1
230.04	4.48	0.79	1509.32	1152.25	1898.87	0	1	1
230.06	4.46	0.8	251.6	190.86	315.8	0	1	1
230.32	4.45	0.8	77.11	58.23	96.63	0	1	1
230.32	4.43	0.8	281.2	211.52	351.87	0	1	1
230.12	4.43	0.8	1787.1	1332.46	2229.17	0	1	1
230.16	4.4	0.8	718.5	533.13	894.69	0	1	1
230.37	4.39	0.8	311.79	231.44	388.31	0	1	1
230.09	4.38	0.8	1823.73	1345.97	2266.64	0	1	1
230.15	4.37	0.81	658.45	482.45	816.28	0	1	1
230.36	4.35	0.81	346.95	254.7	430.4	0	1	1
230.05	4.35	0.81	1777.43	1293.51	2198.28	0	1	1
230.1	4.33	0.81	588.87	426.31	726.99	0	1	1
230.36	4.31	0.81	266.58	193.57	329.44	0	1	1
230.04	4.31	0.81	1634.27	1177.93	2014.53	0	1	1
230.07	4.29	0.81	385.8	275.18	473.89	0	1	1
230.33	4.27	0.81	74.33	52.99	91.28	0	1	1
230.24	4.25	0.82	212.06	150.74	260.17	0	1	1
230.14	4.26	0.82	1674.41	1182.5	2049.86	0	1	1
230.21	4.24	0.82	847.89	597.13	1037.05	0	1	1
230.23	4.23	0.82	43.2	30.3	52.77	0	1	1
229.9	4.23	0.82	1275.69	895.5	1558.63	0	1	1
230.16	4.21	0.82	19.06	13.29	23.24	0	1	1
229.89	4.2	0.82	488.17	338.64	594.13	0	1	1
230.36	4.19	0.82	73.36	50.99	89.34	0	1	1
230.26	4.17	0.82	220.18	152.53	267.86	0	1	1
230.12	4.18	0.82	1678.51	1154.17	2037.03	0	1	1
230.17	4.17	0.83	863.47	588.49	1044.94	0	1	1
230.28	4.15	0.83	180.13	122.59	217.88	0	1	1
230.1	4.15	0.83	1675.93	1135.18	2024.2	0	1	1
230.16	4.13	0.83	819.56	552.06	988.15	0	1	1
230.39	4.13	0.83	237.68	159.79	286.4	0	1	1
230.06	4.12	0.83	1574.93	1057.11	1896.81	0	1	1
230.08	4.11	0.83	408.92	273.18	491.77	0	1	1
230.31	4.1	0.83	196.74	130.74	236.22	0	1	1
230.08	4.1	0.83	886.59	591.89	1066.01	0	1	1
230.32	4.09	0.83	300.4	199.68	360.71	0	1	1
230.03	4.08	0.83	877.33	581.77	1052.69	0	1	1
230.26	4.08	0.83	184.51	121.78	221.08	0	1	1
230.14	4.08	0.84	1614.7	1062.31	1932.81	0	1	1
230.17	4.06	0.84	798.96	522.41	954.6	0	1	1
230.39	4.06	0.84	160.96	105.57	192.49	0	1	1
230.06	4.05	0.84	1542.67	1004.04	1840.63	0	1	1
230.09	4.04	0.84	321.3	208.23	382.87	0	1	1
230.3	4.03	0.84	351.7	227.25	418.74	0	1	1
230.11	4.02	0.84	761.01	491.04	905.68	0	1	1
230.3	4.03	0.84	771.47	493.61	915.87	0	1	1
230.07	4.02	0.84	601.21	386.13	714.52	0	1	1
230.36	4.01	0.84	51.58	32.84	61.14	0	1	1
230.28	4	0.84	214.57	137.7	254.95	0	1	1
